epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12706.6,0.53323,0.27854,0.81782,0.88019,0.77989,0.84124,0.63438,0.93579,0.63617,0.93332,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,13103.5,0.52951,0.27631,0.81609,0.88049,0.77946,0.84112,0.63421,0.9367,0.63572,0.93342,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,13501.3,0.52586,0.27436,0.81598,0.88216,0.77815,0.84125,0.63426,0.93657,0.63479,0.93322,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,13898,0.52127,0.27163,0.81543,0.88376,0.7761,0.84155,0.63475,0.93655,0.63396,0.93312,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,14294.3,0.51803,0.26982,0.81512,0.88424,0.77535,0.84178,0.63504,0.93699,0.63298,0.93359,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,14689.2,0.51355,0.26691,0.81341,0.88287,0.77739,0.84187,0.63521,0.93757,0.63381,0.93376,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,15084.8,0.50979,0.26484,0.81336,0.88578,0.77679,0.84241,0.63561,0.93767,0.63276,0.93385,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,15480.6,0.50556,0.26193,0.81254,0.88374,0.77742,0.84284,0.63598,0.9375,0.63218,0.9339,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,15875.9,0.50055,0.25928,0.81119,0.88584,0.77757,0.84262,0.63631,0.93793,0.633,0.93383,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,16270.4,0.48043,0.2401,0.80363,0.88652,0.77814,0.84133,0.63598,0.93867,0.63103,0.93379,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,16661.1,0.47098,0.23516,0.8023,0.88651,0.77765,0.84069,0.63587,0.93977,0.63121,0.93446,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,17055.2,0.46254,0.23132,0.79975,0.88144,0.78334,0.84062,0.63577,0.9404,0.63142,0.93475,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,17450,0.45628,0.2276,0.79892,0.88129,0.78225,0.84051,0.63548,0.94098,0.63024,0.9353,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,17842.9,0.44744,0.22236,0.7976,0.87657,0.78501,0.84036,0.63426,0.94199,0.63126,0.93589,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,18233.3,0.4411,0.21903,0.79542,0.87492,0.78565,0.8386,0.63294,0.94294,0.63275,0.93633,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,18623.3,0.43403,0.21526,0.79512,0.87814,0.78208,0.83898,0.63261,0.94366,0.63476,0.93694,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,19014.4,0.42724,0.21122,0.79401,0.87081,0.78666,0.83722,0.63203,0.94427,0.63681,0.93782,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,19406,0.421,0.20731,0.79336,0.8824,0.77468,0.83671,0.63105,0.94491,0.63917,0.93872,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,19797.1,0.41351,0.20308,0.79178,0.88098,0.77818,0.83454,0.62978,0.94545,0.64261,0.93952,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
